county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Mohave County, Arizona",2010,200181,36456,0.49392799516437624,0.5060720048356238,0.9135232614483892,0.008792043200903182,0.023833430745175615,0.011969167903047742,4.5958407641084816e-4,0.01704457465993276,0.024377937966140642,0.1768821930542504
"Navajo County, Arizona",2010,107551,40623,0.5025150858662402,0.4974849141337598,0.5131983896012124,0.004128274028135489,0.4302052049725247,0.002993928461846008,0.005374194568158362,0.015722773381930434,0.028377234986192598,0.2761528352023637
"Pima County, Arizona",2010,982154,44274,0.5076495132127955,0.49235048678720444,0.8083661014464126,0.03447320888577555,0.032554976103543846,0.026516208252473646,0.0011067510797695677,0.07080254216752159,0.026180212064503123,0.1776488294769122
"Pinal County, Arizona",2010,383842,50110,0.4724157335570365,0.5275842664429635,0.7537710828934823,0.045758411012864667,0.05284987051964089,0.016988761000620047,0.005322502488002877,0.09816539096815878,0.02714398111723053,0.13657522789290935
"Yavapai County, Arizona",2010,211061,40274,0.5102079493606114,0.48979205063938863,0.9305793111943941,0.0036671862636868014,0.022647481059977922,0.007680244100046906,0,0.0202358559847627,0.015189921397131635,0.19186641582266759
"Yuma County, Arizona",2010,196509,42240,0.49831814318937045,0.5016818568106295,0.7551257194326977,0.01956144502287427,0.012716974795047555,0.010890086459144365,5.445043229572183e-4,0.16780401915433898,0.033357250812939866,0.20070754223273535
"Benton County, Arkansas",2010,222894,52368,0.5122614336859673,0.4877385663140327,0.8630021445171248,0.010457885811192764,0.0189551984351306,0.027892181934013476,0.0019381409997577324,0.054039139680745106,0.023715308622035587,0.09446930729733513
"Craighead County, Arkansas",2010,96771,36320,0.5074350786909302,0.49256492130906987,0.8378439821847454,0.13006995897531284,0.0053735106591850865,0.012968761302456314,0,0.0010747021318370173,0.0126690847464633,0.23375677470491207
"Faulkner County, Arkansas",2010,113980,43033,0.5018248815581681,0.4981751184418319,0.8568433058431304,0.10550096508159326,0.002526759080540446,0.007922442533777855,0,0.00896648534830672,0.01824004211265134,0.15580902780961461
"Garland County, Arkansas",2010,96145,36482,0.5104165583233657,0.48958344167663426,0.8520151853970566,0.08402933069842425,0.0077695147953611736,0.009464870768110666,0.0011961100421238754,0.033054240990171097,0.012470747308752405,0.23849478233371982
"Jefferson County, Arkansas",2010,77358,33474,0.5113239742495927,0.4886760257504072,0.4187543628325448,0.5532976550583004,0.005144910675043305,0.003464412213345743,0,0.005506864189870472,0.013831795030895318,0.2216330559864617
"Lonoke County, Arkansas",2010,68634,49367,0.500932482443104,0.499067517556896,0.8891802896523588,0.06543404143718856,0.0026080368330565025,0.004851822711775505,0,0.024011422909928023,0.013914386455692514,0.1279463261042286
"Pulaski County, Arkansas",2010,383632,44482,0.5186141927680694,0.4813858072319306,0.6066125870626017,0.3558749009467406,0.004616403219752262,0.020472744713683946,1.3033323601785045e-4,0.0036832172498644533,0.0086098135713392,0.17511946970864806
"Saline County, Arkansas",2010,107532,52664,0.4996931146077447,0.5003068853922553,0.9157460104899007,0.05261689543577726,0.007560540118290369,0.005449540601867351,0,0.004482386638396012,0.014144626715768329,0.0892155253170058
"Sebastian County, Arkansas",2010,125920,38093,0.5153748411689962,0.4846251588310038,0.8355702033036849,0.06695520965692503,0.007202986022871664,0.04113722998729352,0,0.009331321473951715,0.03980304955527319,0.22305822525706426
"Washington County, Arkansas",2010,204123,38278,0.5025303371006697,0.4974696628993303,0.7901608343988673,0.03719815993298158,0.009832306991372849,0.02416190238238709,0.02121759919264365,0.09680437775262954,0.020624819349117935,0.210421915493248
"White County, Arkansas",2010,77350,38326,0.5223400129282483,0.4776599870717518,0.9124886877828055,0.04743374272786038,0.0033354880413703943,0.0031157078215901745,0,0.018073691014867485,0.01555268261150614,0.16398086533579198
"Alameda County, California",2010,1513952,67169,0.509521437931982,0.490478562068018,0.45733087971084946,0.12286783200524191,0.005164628733275559,0.2645836856122255,0.007964585402971824,0.08631647502694934,0.0557719135084864,0.13470589144276487
"Butte County, California",2010,220072,41657,0.4996228507034062,0.5003771492965938,0.8400977861790687,0.014027227452833618,0.014368025009996729,0.042931404267694206,0.0016994438183867099,0.029781162528626996,0.057094950743393075,0.20260895124079145
"Contra Costa County, California",2010,1052827,73721,0.5117345964721649,0.48826540352783504,0.6418841842012031,0.09258501159259784,0.0038163914869204533,0.1469405704830898,0.004765265328491765,0.06161316151656445,0.04839541539113264,0.0922525092455994
"El Dorado County, California",2010,181194,66129,0.4968266057374968,0.5031733942625032,0.8935671159089154,0.00757751360420323,0.011192423590185106,0.033643498129077125,9.989293243705642e-4,0.020381469585085597,0.03263904985816307,0.09226409621349041
"Fresno County, California",2010,933248,45221,0.5007993587985187,0.4992006412014813,0.5918201807022356,0.050997162597723224,0.009210842134137979,0.09465972603209437,0.0012493999451378413,0.20930342202715677,0.04275926656151419,0.2683902645354985
