geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
25,Massachusetts,2013,6692824,66768,1077,1581,0.5150367019960483,0.4849632980039517,0.11933856111564571
26,Michigan,2013,9895622,48273,768,869,0.5090618861553119,0.4909381138446881,0.17047766521437016
27,Minnesota,2013,5420380,60702,832,1095,0.5035967957966047,0.49640320420339534,0.11193935092703654
28,Mississippi,2013,2991207,37963,708,604,0.514833978390663,0.485166021609337,0.24048748897631048
29,Missouri,2013,6044171,46931,734,837,0.5102054524929887,0.4897945475070113,0.15885763014525314
30,Montana,2013,1015165,46972,690,779,0.5005560672403009,0.49944393275969917,0.16518928369891875
31,Nebraska,2013,1868516,51440,714,905,0.5048080936957458,0.4951919063042543,0.1318779553472335
32,Nevada,2013,2790136,51230,952,1083,0.4971327562527418,0.5028672437472582,0.15763671451777803
33,New Hampshire,2013,1323459,64230,995,1403,0.506851364492591,0.493148635507409,0.08702517442890582
34,New Jersey,2013,8899339,70165,1171,1820,0.5119020637375428,0.48809793626245723,0.11449923804696933
35,New Mexico,2013,2085287,43872,772,745,0.5040759377486168,0.49592406225138314,0.21925323237192493
36,New York,2013,19651127,57369,1109,1339,0.5147261019686047,0.48527389803139537,0.15969736133734483
37,North Carolina,2013,9848060,45906,778,890,0.5130029670818415,0.4869970329181585,0.17890565739809144
38,North Dakota,2013,723393,55759,690,744,0.4896895601699215,0.5103104398300785,0.11801506447302273
39,Ohio,2013,11570808,48081,709,898,0.510991540089508,0.48900845991049197,0.15974588472162204
40,Oklahoma,2013,3850568,45690,705,737,0.5047686471190744,0.4952313528809256,0.1678370167971949
41,Oregon,2013,3930065,50251,887,1156,0.5047929232722614,0.4952070767277386,0.16666480658189697
42,Pennsylvania,2013,12773801,52007,828,950,0.5112411724591608,0.48875882754083927,0.13683882208868658
44,Rhode Island,2013,1051511,55902,918,1429,0.5121315896837979,0.4878684103162021,0.1428988343208086
45,South Carolina,2013,4774839,44163,766,786,0.5138728237747912,0.48612717622520885,0.18575495795264088
46,South Dakota,2013,844877,48947,637,775,0.49796242529977736,0.5020375747002226,0.14165283314254726
47,Tennessee,2013,6495978,44297,748,792,0.5113671875120267,0.4886328124879733,0.1778562797786054
48,Texas,2013,26448193,51704,857,961,0.5029719421663325,0.4970280578336675,0.17535026882358284
49,Utah,2013,2900872,59770,881,1121,0.49713120744383066,0.5028687925561693,0.1266596460146578
50,Vermont,2013,626630,52578,865,1119,0.5074094760863668,0.4925905239136332,0.12291009031795505
51,Virginia,2013,8260405,62666,1086,1233,0.5084341506257866,0.4915658493742135,0.11718717230689951
53,Washington,2013,6971406,58405,989,1302,0.5014162136016752,0.4985837863983248,0.14149282166189653
54,West Virginia,2013,1854304,41253,620,503,0.5055643519077778,0.4944356480922222,0.1848152609235786
55,Wisconsin,2013,5742713,51467,758,1027,0.5027608031256307,0.4972391968743693,0.13508392427443552
56,Wyoming,2013,582658,58752,780,880,0.4894140301858037,0.5105859698141963,0.1089728389076544
72,Puerto Rico,2013,3615086,19183,448,283,0.5216932598560587,0.47830674014394126,0.45420190343457456
01,Alabama,2014,4849377,42830,717,733,0.5158204858067336,0.4841795141932665,0.1925257675806216
02,Alaska,2014,736732,71583,1183,1366,0.47663193671511483,0.5233680632848852,0.11233721087383294
04,Arizona,2014,6731484,50068,916,931,0.5033864746614565,0.49661352533854347,0.18241194127394947
05,Arkansas,2014,2966369,41262,683,662,0.5089019606124524,0.49109803938754754,0.18866082801222123
06,California,2014,38802500,61933,1268,1613,0.5035253656336576,0.49647463436634237,0.16445245677456266
08,Colorado,2014,5355866,61303,1020,1250,0.49726169400055936,0.5027383059994406,0.12044453957678118
09,Connecticut,2014,3596677,70048,1076,1634,0.5122953770939119,0.487704622906088,0.10751918807193767
10,Delaware,2014,935614,59716,1024,1144,0.5147518100413204,0.4852481899586795,0.1247874091232406
11,District of Columbia,2014,658893,71648,1360,1786,0.5255178003105209,0.4744821996894792,0.17725646976664472
12,Florida,2014,19893297,47463,1003,933,0.5112812119579776,0.4887187880420224,0.16495019827726562
13,Georgia,2014,10097343,49321,882,989,0.5125510740795871,0.48744892592041295,0.18302064392414427
15,Hawaii,2014,1419561,69592,1448,1546,0.49469378209178755,0.5053062179082125,0.11358787190064676
16,Idaho,2014,1634464,47861,755,854,0.5001113514889285,0.4998886485110715,0.14845207640527658
17,Illinois,2014,12880580,57444,905,1163,0.5092918952407423,0.49070810475925775,0.14353776787628994
18,Indiana,2014,6596855,49446,753,840,0.5082537057431155,0.49174629425688454,0.15242495454872595
19,Iowa,2014,3107126,53712,711,843,0.5028199693221325,0.4971800306778676,0.12240715614753048
20,Kansas,2014,2904021,52504,773,894,0.5024330058219276,0.49756699417807243,0.1356446427362569
21,Kentucky,2014,4413457,42958,678,754,0.5073798158676973,0.49262018413230263,0.19122183657559516
22,Louisiana,2014,4649676,44555,801,686,0.5113388545782545,0.4886611454217455,0.19841076457472295
23,Maine,2014,1330089,49462,776,944,0.5130987475274211,0.4869012524725789,0.1412594502820305
24,Maryland,2014,5976407,73971,1242,1560,0.5154223934213316,0.48457760657866844,0.10107624580211355
25,Massachusetts,2014,6745408,69160,1107,1599,0.5152733533686917,0.48472664663130827,0.11632460130095648
26,Michigan,2014,9909877,49847,788,887,0.5090497086896235,0.4909502913103765,0.1619571071398597
27,Minnesota,2014,5457173,61481,859,1105,0.5028885835211748,0.49711141647882523,0.11464567059074154
28,Mississippi,2014,2994079,39680,711,644,0.5130963478251576,0.48690365217484244,0.21520271320372858
29,Missouri,2014,6063589,48363,754,861,0.5101064732454657,0.4898935267545343,0.15456384773531645
30,Montana,2014,1023579,46328,711,785,0.4984178065396027,0.5015821934603973,0.15426994484704676
31,Nebraska,2014,1881503,52686,742,920,0.5024206711336628,0.49757932886633716,0.1243407848824011
32,Nevada,2014,2839099,51450,955,1054,0.49746592140675616,0.5025340785932438,0.15236178076870344
33,New Hampshire,2014,1326813,66532,994,1434,0.5064760444765012,0.4935239555234988,0.0916369968559321
34,New Jersey,2014,8938175,71919,1202,1831,0.5118252887194533,0.4881747112805466,0.11103462057696054
35,New Mexico,2014,2085572,44803,777,767,0.5047982040418648,0.49520179595813524,0.21322301120739173
36,New York,2014,19746227,58878,1148,1362,0.5151322326032208,0.4848677673967791,0.15929137358644896
37,North Carolina,2014,9943964,46556,803,902,0.5130309200636688,0.4869690799363312,0.17217514115549712
38,North Dakota,2014,739482,59029,728,743,0.4910978225298249,0.5089021774701751,0.11545046789830299
39,Ohio,2014,11594163,49308,735,907,0.5103927726391289,0.48960722736087114,0.158364329476341
40,Oklahoma,2014,3878051,47529,737,752,0.5047610255770231,0.49523897442297693,0.1659362093588086
41,Oregon,2014,3970239,51075,924,1134,0.5052456539770024,0.4947543460229976,0.16552051830305833
42,Pennsylvania,2014,12787209,53234,848,968,0.5109761637586435,0.4890238362413565,0.13597657229772336
44,Rhode Island,2014,1055173,54891,934,1425,0.5151032105635758,0.48489678943642417,0.14335182714602893
45,South Carolina,2014,4832482,45238,791,786,0.5134262269367997,0.4865737730632002,0.17986656546428087
46,South Dakota,2014,853175,50979,647,781,0.4990699446186304,0.5009300553813696,0.14173559784223888
47,Tennessee,2014,6549352,44361,770,807,0.5128985279765083,0.4871014720234918,0.1833989048741103
48,Texas,2014,26956958,53035,896,986,0.5034930499205437,0.4965069500794563,0.17174129004940614
49,Utah,2014,2942902,60922,886,1134,0.49725576998486526,0.5027442300151347,0.11729741780035766
50,Vermont,2014,626562,54166,917,1155,0.5076049935999949,0.4923950064000051,0.12154651149265809
51,Virginia,2014,8326289,64902,1116,1244,0.5084639747671502,0.49153602523284984,0.11799004987438586
53,Washington,2014,7061530,61366,1032,1293,0.5001654032483045,0.49983459675169545,0.13187552514192996
54,West Virginia,2014,1850326,41059,656,495,0.5056622454637724,0.4943377545362277,0.18280720756697486
55,Wisconsin,2014,5757564,52622,782,1047,0.5036126389563363,0.4963873610436636,0.1317519130055826
56,Wyoming,2014,584153,57055,792,887,0.4912617071212508,0.5087382928787493,0.11185497124435893
72,Puerto Rico,2014,3548397,18928,467,293,0.5196659223869257,0.4803340776130743,0.4621144774171818
01,Alabama,2015,4858979,44765,729,724,0.5157809902039091,0.4842190097960909,0.18495658983437185
02,Alaska,2015,738432,73355,1163,1360,0.4736211323452938,0.5263788676547062,0.1034067969449127
04,Arizona,2015,6828065,51492,933,976,0.5039026429888995,0.4960973570111005,0.1737251572124367
05,Arkansas,2015,2978204,41995,695,663,0.5085709373837387,0.49142906261626135,0.19066288417320182
06,California,2015,39144818,64500,1311,1648,0.5033682874703875,0.49663171252961247,0.15343687832954672
08,Colorado,2015,5456574,63909,1111,1273,0.4976664845010807,0.5023335154989192,0.11490503627787606
09,Connecticut,2015,3590886,71346,1108,1648,0.5120805840118566,0.4879194159881433,0.1054053914296516
10,Delaware,2015,945934,61255,1049,1137,0.5156025684667218,0.48439743153327824,0.12425640106263344
11,District of Columbia,2015,672228,75628,1417,1910,0.5244098728407623,0.47559012715923765,0.17319016279875304
12,Florida,2015,20271272,49426,1046,951,0.5120563721901615,0.48794362780983846,0.15702153757365092
13,Georgia,2015,10214860,51244,909,993,0.5129196092751149,0.4870803907248851,0.17046799579006441
15,Hawaii,2015,1431603,73486,1500,1576,0.49382964411222946,0.5061703558877706,0.10614860546537926
16,Idaho,2015,1654930,48275,770,883,0.5003903488365067,0.4996096511634933,0.15137696687536525
17,Illinois,2015,12859995,59588,936,1171,0.5092972431171241,0.4907027568828759,0.1356159543010817
18,Indiana,2015,6619680,50532,758,842,0.5085730730186353,0.49142692698136464,0.1454137785632789
19,Iowa,2015,3123899,54736,718,834,0.5040527878782253,0.4959472121217747,0.1215868699126322
20,Kansas,2015,2911641,53906,782,893,0.5022655608984762,0.4977344391015239,0.1303025175710002
21,Kentucky,2015,4425092,45215,702,737,0.5085092016165992,0.4914907983834008,0.1850934563971933
22,Louisiana,2015,4670724,45727,800,698,0.5105043672030289,0.4894956327969711,0.19595049241603563
23,Maine,2015,1329328,51494,792,962,0.5102563099551052,0.4897436900448949,0.1335038932835059
24,Maryland,2015,6006401,75847,1278,1580,0.5151259464694415,0.48487405353055846,0.09734739369875957
25,Massachusetts,2015,6794422,70628,1164,1650,0.5146924933423329,0.48530750665766714,0.11466727369531024
26,Michigan,2015,9922576,51084,803,880,0.508487816067118,0.49151218393288193,0.1577214417724333
27,Minnesota,2015,5489594,63488,888,1114,0.5026899985682002,0.4973100014317999,0.10182081968563302
28,Mississippi,2015,2992333,40593,724,636,0.5159312148748151,0.4840687851251849,0.21995878586429024
29,Missouri,2015,6083672,50238,763,869,0.5095651113340759,0.4904348886659241,0.14833952816069626
30,Montana,2015,1032949,49509,763,840,0.49752988772921025,0.5024701122707897,0.14615763991636624
31,Nebraska,2015,1896190,54996,750,941,0.5029037174544745,0.4970962825455255,0.12553495394213435
32,Nevada,2015,2890845,52431,980,1098,0.4992965724554585,0.5007034275445414,0.14672762966975295
33,New Hampshire,2015,1330608,70303,1017,1458,0.5057026562293327,0.49429734377066725,0.08233001568249926
34,New Jersey,2015,8958013,72222,1214,1854,0.5116224993198827,0.4883775006801173,0.10773853209703271
35,New Mexico,2015,2085109,45382,783,771,0.503554490436711,0.49644550956328903,0.2043766700857109
36,New York,2015,19795791,60850,1173,1381,0.5142102682332825,0.48578973176671747,0.1540171385521176
37,North Carolina,2015,10042802,47830,827,909,0.5124860571780664,0.48751394282193355,0.16423115537545022
38,North Dakota,2015,756928,60557,775,767,0.4872008962543333,0.5127991037456667,0.10961859783360725
39,Ohio,2015,11613423,51075,746,915,0.5105705699344629,0.4894294300655371,0.1482394509594222
40,Oklahoma,2015,3911338,48568,759,750,0.504119817821932,0.49588018217806795,0.1609235979897591
41,Oregon,2015,4028977,54148,943,1166,0.5055414811253577,0.49445851887464237,0.1535974628024707
42,Pennsylvania,2015,12802503,55702,868,987,0.5108576815018125,0.4891423184981874,0.13160280762129536
44,Rhode Island,2015,1056298,58073,938,1453,0.5155032008012891,0.48449679919871097,0.13876712881379613
45,South Carolina,2015,4896146,47238,819,807,0.5128625657813308,0.4871374342186691,0.1664612693846755
46,South Dakota,2015,858469,53017,675,824,0.49731440506296676,0.5026855949370332,0.1374939130518632
47,Tennessee,2015,6600299,47275,785,813,0.512947974023601,0.48705202597639896,0.16736587478287387
48,Texas,2015,27469114,55653,932,1016,0.503973335288499,0.4960266647115011,0.15851466965365643
49,Utah,2015,2995919,62912,925,1144,0.4971883418743965,0.5028116581256036,0.11257450741401986
50,Vermont,2015,626042,56990,923,1191,0.5071384986949757,0.49286150130502426,0.10207788445690483
51,Virginia,2015,8382993,66262,1144,1268,0.5077741326993831,0.49222586730061685,0.11183240917104807
53,Washington,2015,7170351,64129,1080,1324,0.49999365442500654,0.5000063455749935,0.12190344229737556
54,West Virginia,2015,1844128,42019,675,501,0.5073232443734925,0.4926767556265075,0.17934511035661224
55,Wisconsin,2015,5771337,55638,792,1034,0.503009961123393,0.4969900388766069,0.12062937716172473
56,Wyoming,2015,586107,60214,815,902,0.49650490439459005,0.50349509560541,0.11082106307845799
72,Puerto Rico,2015,3474182,18626,433,268,0.5229187762759694,0.47708122372403056,0.46064581626670376
01,Alabama,2016,4863300,46257,743,728,0.5155445890650382,0.48445541093496186,0.17088689690169148
02,Alaska,2016,741894,76440,1208,1360,0.47354608609855314,0.5264539139014468,0.09885243546676097
04,Arizona,2016,6931071,53558,976,975,0.5030742002210048,0.4969257997789952,0.16355752050849065
05,Arkansas,2016,2988248,44334,701,645,0.5084805544921305,0.49151944550786947,0.1722279145665366
06,California,2016,39250017,67739,1375,1691,0.5034083424728198,0.49659165752718015,0.14347069780489619
08,Colorado,2016,5540545,65685,1171,1292,0.4963129078457083,0.5036870921542916,0.11046123232048546
09,Connecticut,2016,3576452,73433,1115,1613,0.512043500094507,0.48795649990549295,0.0977451020517571
10,Delaware,2016,952065,61757,1048,1095,0.5165960307331957,0.4834039692668043,0.11674959864661914
11,District of Columbia,2016,681170,75506,1376,1957,0.5249482508037641,0.4750517491962359,0.1857596803231355
12,Florida,2016,20612439,50860,1086,958,0.5114183236636868,0.4885816763363132,0.1472666848989037
13,Georgia,2016,10310371,53559,933,990,0.5132910348230922,0.4867089651769078,0.15965945303286258
15,Hawaii,2016,1428557,74511,1483,1577,0.49735502328573516,0.5026449767142648,0.09325254310723298
16,Idaho,2016,1683140,51807,790,884,0.5002180448447544,0.49978195515524554,0.14368035183517772
17,Illinois,2016,12801539,60960,950,1163,0.5086743867280332,0.4913256132719668,0.12969929668373772
18,Indiana,2016,6633053,52314,768,818,0.5074158159146324,0.49258418408536764,0.14085257377653665
19,Iowa,2016,3134693,56247,741,847,0.5034065536880326,0.4965934463119674,0.1175645869909591
20,Kansas,2016,2907289,54935,789,885,0.5016480989678013,0.49835190103219873,0.12121744004665476
21,Kentucky,2016,4436974,46659,707,756,0.5087160754153619,0.4912839245846381,0.18471009103844588
22,Louisiana,2016,4681666,45146,808,692,0.5104563204636982,0.48954367953630185,0.20197614747151188
23,Maine,2016,1331479,53079,797,945,0.5112938318967104,0.48870616810328965,0.12480911995715953
24,Maryland,2016,6016447,78945,1314,1572,0.5150338729818446,0.4849661270181554,0.09663191277791792
25,Massachusetts,2016,6811779,75297,1179,1647,0.5146910961145392,0.4853089038854608,0.10443732812675638
26,Michigan,2016,9928300,52492,818,876,0.5081514458668654,0.49184855413313455,0.1496483161091042
27,Minnesota,2016,5519952,65599,912,1128,0.5021793667771024,0.4978206332228976,0.0988213728394476
28,Mississippi,2016,2988726,41754,728,625,0.517876847860928,0.482123152139072,0.2083615922325533
29,Missouri,2016,6093000,51746,771,866,0.5085096011816839,0.4914903988183161,0.13989991608921612
30,Montana,2016,1042520,50027,741,827,0.4954312627095883,0.5045687372904117,0.13322594427883175
31,Nebraska,2016,1907116,56927,769,930,0.5018006246080469,0.4981993753919531,0.11423291082072035
32,Nevada,2016,2940058,55180,1003,1103,0.4989374359281348,0.5010625640718652,0.1378789929054903
33,New Hampshire,2016,1334795,70936,1026,1440,0.5020044276461929,0.49799557235380715,0.07296470123930648
34,New Jersey,2016,8944469,76126,1244,1848,0.5114063227230147,0.4885936772769854,0.10444316754218348
35,New Mexico,2016,2081015,46748,804,752,0.5049415789890991,0.4950584210109009,0.19831974224410612
36,New York,2016,19745289,62909,1194,1358,0.5147171560770775,0.4852828439229226,0.14731122373258976
37,North Carolina,2016,10146788,50584,839,898,0.5137987508953572,0.4862012491046428,0.1539424357575986
38,North Dakota,2016,757953,60656,776,759,0.4852174211329726,0.5147825788670274,0.10722655956400946
39,Ohio,2016,11614373,52334,759,903,0.50995202237779,0.49004797762221,0.14577155538285563
40,Oklahoma,2016,3923561,49176,744,757,0.5047170159964379,0.4952829840035621,0.16285293000450723
41,Oregon,2016,4093465,57532,1015,1199,0.5050554969933785,0.4949445030066215,0.1334852060988119
42,Pennsylvania,2016,12784227,56907,881,975,0.5101096061576503,0.4898903938423496,0.1287202496455442
44,Rhode Island,2016,1056426,60596,948,1406,0.5159547379560897,0.4840452620439103,0.12789942237954427
45,South Carolina,2016,4961119,49501,841,806,0.5151611964961937,0.4848388035038063,0.15267552467949363
46,South Dakota,2016,865454,54467,706,834,0.4966017835725527,0.5033982164274473,0.13252485393387253
47,Tennessee,2016,6651194,48547,806,809,0.5118082557808418,0.48819174421915823,0.15767790943240842
48,Texas,2016,27862596,56565,956,1014,0.5036014232126826,0.4963985767873173,0.15645717761309727
49,Utah,2016,3051217,65977,954,1176,0.49589131156518856,0.5041086884348114,0.10215941424989715
50,Vermont,2016,624594,57677,925,1162,0.5070814000774904,0.49291859992250964,0.11886641214377489
51,Virginia,2016,8411808,68114,1159,1262,0.5083714464238841,0.49162855357611585,0.10988152960914001
53,Washington,2016,7288000,67106,1135,1353,0.5005864434687157,0.49941355653128433,0.11258476090877054
54,West Virginia,2016,1831102,43385,682,527,0.5079940931744927,0.49200590682550727,0.17925703360658546
55,Wisconsin,2016,5778709,56811,802,1018,0.5028438012711836,0.49715619872881645,0.11753706317684881
56,Wyoming,2016,585501,59882,840,904,0.49068404665406207,0.5093159533459379,0.11321167640400652
72,Puerto Rico,2016,3411307,20078,463,255,0.523476778841658,0.47652322115834195,0.4347949079785281
01,Alabama,2017,4874747,48123,750,716,0.5158936453522613,0.48410635464773866,0.16888918814281145
02,Alaska,2017,739795,73181,1201,1373,0.4785366216316682,0.5214633783683318,0.11105497507189731
04,Arizona,2017,7016270,56581,1020,1009,0.502909380625318,0.49709061937468196,0.14861800504574998
05,Arkansas,2017,3004279,45869,711,666,0.5074751712474108,0.49252482875258924,0.16403029707635064
06,California,2017,39536653,71805,1447,1745,0.5029915405332869,0.49700845946671307,0.1330189572471362
08,Colorado,2017,5607154,69117,1240,1353,0.4970409230779108,0.5029590769220892,0.1029183469801047
09,Connecticut,2017,3588184,74168,1125,1616,0.5121077960327564,0.4878922039672436,0.09594255300087522
10,Delaware,2017,961939,62852,1086,1160,0.5160711853870151,0.4839288146129848,0.13582160272186553
11,District of Columbia,2017,693972,82372,1499,1977,0.5258050757091064,0.4741949242908936,0.16638360867156493
12,Florida,2017,20984400,52594,1128,968,0.511338565791731,0.488661434208269,0.14047239853144786
13,Georgia,2017,10429379,56183,958,1004,0.5138041296610277,0.48619587033897227,0.14945739170064995
15,Hawaii,2017,1427538,77765,1573,1608,0.49819199208707576,0.5018080079129242,0.09545857189154154
16,Idaho,2017,1716943,52225,822,926,0.49752554394642107,0.502474456053579,0.128259800971366
17,Illinois,2017,12802023,62992,974,1172,0.5082886509421206,0.4917113490578794,0.12554287843937645
18,Indiana,2017,6666818,54181,793,835,0.5070883890935676,0.49291161090643243,0.13479208915848603
19,Iowa,2017,3145711,58570,760,879,0.5033666474765164,0.49663335252348356,0.10728072033724342
20,Kansas,2017,2913123,56422,815,905,0.5013691491914347,0.49863085080856523,0.11901034740338745
21,Kentucky,2017,4454189,48375,724,765,0.5072391405034676,0.49276085949653237,0.1724005812481454
22,Louisiana,2017,4684333,46145,836,708,0.5112014880240153,0.4887985119759846,0.19745919042608265
23,Maine,2017,1335907,56277,806,939,0.5098738160665376,0.4901261839334624,0.11067493790423727
24,Maryland,2017,6052177,80776,1337,1566,0.514914715812178,0.485085284187822,0.09283893706989779
25,Massachusetts,2017,6859819,77385,1208,1694,0.5140877623739052,0.4859122376260948,0.10452349615942393
26,Michigan,2017,9962311,54909,835,885,0.5074193126474369,0.49258068735256305,0.14159681116687675
27,Minnesota,2017,5576606,68388,939,1157,0.50136086357903,0.49863913642097,0.09493958626803523
28,Mississippi,2017,2984100,43529,742,595,0.5152732817264837,0.4847267182735163,0.19766382419024373
29,Missouri,2017,6113532,53578,800,872,0.5088446416899429,0.4911553583100571,0.13422111030821204
30,Montana,2017,1050493,53386,759,879,0.49894287729665976,0.5010571227033402,0.12471974489342741
31,Nebraska,2017,1920076,59970,801,975,0.5003984217291398,0.4996015782708601,0.10772381045319183
32,Nevada,2017,2998039,58003,1051,1139,0.49758758975450285,0.5024124102454971,0.13002157209931764
33,New Hampshire,2017,1342795,73381,1072,1477,0.5042124821733772,0.49578751782662284,0.07696216331074496
34,New Jersey,2017,9005644,80088,1284,1848,0.5117675093530235,0.4882324906469765,0.09994938400217411
35,New Mexico,2017,2088070,46744,813,743,0.5047369101610578,0.4952630898389422,0.19653534632594769
36,New York,2017,19849399,64894,1226,1379,0.5144489765156114,0.4855510234843886,0.14077471010619938
37,North Carolina,2017,10273419,52752,861,896,0.5134494173750725,0.4865505826249275,0.1470009817123357
38,North Dakota,2017,755393,61843,785,823,0.4859629358492864,0.5140370641507136,0.10321311295596794
39,Ohio,2017,11658609,54021,772,896,0.5102971546605602,0.4897028453394397,0.1397020782891742
40,Oklahoma,2017,3930864,50051,780,760,0.5041838130243123,0.4958161869756878,0.1582871776859179
41,Oregon,2017,4142776,60212,1079,1265,0.5041933235106122,0.4958066764893878,0.1323602824183343
42,Pennsylvania,2017,12805537,59195,893,996,0.5101711861048858,0.4898288138951143,0.12491579363051407
44,Rhode Island,2017,1059639,63870,941,1506,0.5156860024970769,0.48431399750292314,0.1162105961773334
45,South Carolina,2017,5024369,50570,848,796,0.5149834735466284,0.48501652645337157,0.15399347085231183
46,South Dakota,2017,869666,56521,722,834,0.4958650792373164,0.5041349207626836,0.13003595986130959
47,Tennessee,2017,6715984,51340,833,807,0.5127839792352096,0.48721602076479037,0.149538646753076
48,Texas,2017,28304596,59206,987,1038,0.5031654576521778,0.49683454234782226,0.14730649204629384
49,Utah,2017,3101833,68358,986,1213,0.4959648053263989,0.504035194673601,0.0971479375345808
50,Vermont,2017,623657,57513,950,1176,0.5064434456760687,0.49355655432393125,0.11309434503269085
51,Virginia,2017,8470020,71535,1179,1284,0.5084127310207059,0.491587268979294,0.10637154203661248
53,Washington,2017,7405743,70979,1216,1412,0.5005747566449443,0.49942524335505567,0.11028191516492333
54,West Virginia,2017,1815857,43469,690,516,0.5059269534990916,0.4940730465009084,0.19081265067658004
55,Wisconsin,2017,5795483,59305,819,1020,0.5029829265308862,0.4970170734691138,0.11329353783058652
56,Wyoming,2017,579315,60434,832,962,0.4894332099117061,0.510566790088294,0.11332137385403067
72,Puerto Rico,2017,3337177,19343,453,251,0.522950985218944,0.477049014781056,0.4441864509036914
01,Alabama,2018,4887871,49861,788,734,0.5152754645120544,0.4847245354879456,0.16802075977554184
02,Alaska,2018,737438,74346,1177,1364,0.48069939438976567,0.5193006056102344,0.10906281168977998
04,Arizona,2018,7171646,59246,1036,1023,0.5028855300442883,0.4971144699557117,0.1402305343851038
05,Arkansas,2018,3013825,47062,731,682,0.5100312725523214,0.4899687274476786,0.17245358659596752
06,California,2018,39557045,75277,1520,1785,0.5026536233937595,0.4973463766062404,0.12801452628690468
08,Colorado,2018,5695564,71953,1289,1377,0.4970189080484391,0.5029810919515609,0.0963762009101635
09,Connecticut,2018,3572665,76348,1171,1661,0.5128194219161326,0.4871805780838674,0.10419538541338993
10,Delaware,2018,967171,64805,1108,1157,0.5161931033912307,0.4838068966087693,0.12462132727315245
11,District of Columbia,2018,702455,85203,1516,2122,0.524228598273199,0.475771401726801,0.16150970582828
12,Florida,2018,21299325,55462,1182,987,0.511502078117499,0.48849792188250096,0.1360448441148588
13,Georgia,2018,10519475,58756,1008,1024,0.5132561273257458,0.4867438726742542,0.14344086891074984
15,Hawaii,2018,1420491,80212,1613,1657,0.499678632247582,0.500321367752418,0.08835269030010533
16,Idaho,2018,1754208,55583,848,952,0.4971189277440304,0.5028810722559697,0.11796043766256527
17,Illinois,2018,12741080,65030,995,1205,0.5082000897883068,0.4917999102116932,0.12125123651602025
18,Indiana,2018,6691878,55746,820,853,0.5074666633193253,0.49253333668067467,0.13139215698058684
19,Iowa,2018,3156145,59955,777,886,0.5041774062978729,0.4958225937021271,0.11240538505513363
20,Kansas,2018,2911510,58218,840,951,0.5020642209712486,0.4979357790287514,0.11967915687551316
21,Kentucky,2018,4468402,50247,779,773,0.5078730606601645,0.4921269393398356,0.16882952080354946
22,Louisiana,2018,4659978,47905,854,740,0.5114719425714027,0.4885280574285973,0.18627087313215993
23,Maine,2018,1338404,55602,839,962,0.5100627314323627,0.48993726856763725,0.11639621150267178
24,Maryland,2018,6042718,83242,1371,1595,0.5150609378097737,0.4849390621902263,0.089528678761162
25,Massachusetts,2018,6902149,79835,1295,1726,0.5145154067233263,0.4854845932766737,0.09961136267920445
26,Michigan,2018,9995915,56697,861,898,0.5071170573179143,0.49288294268208566,0.1405086532562918
27,Minnesota,2018,5611179,70315,969,1174,0.502068994769192,0.497931005230808,0.09640011631923946
28,Mississippi,2018,2986530,44717,777,623,0.5155484793388984,0.4844515206611017,0.19665866144132857
29,Missouri,2018,6126452,54478,830,891,0.5098035535086213,0.4901964464913787,0.13229731589536275
30,Montana,2018,1062305,55328,811,894,0.496583372948447,0.503416627051553,0.1302351315036117
31,Nebraska,2018,1929268,59566,830,979,0.5017732113941661,0.4982267886058339,0.11002846414147392
32,Nevada,2018,3034392,58646,1108,1195,0.49829356259837226,0.5017064374016278,0.12945516310614583
33,New Hampshire,2018,1356458,74991,1090,1481,0.5064779005321212,0.49352209946787884,0.07638684579186375
34,New Jersey,2018,8908520,81740,1336,1868,0.5116600737271736,0.48833992627282646,0.09521730792291926
35,New Mexico,2018,2095428,47169,830,751,0.5038526735349532,0.4961473264650468,0.1946895322501327
36,New York,2018,19542209,67844,1274,1410,0.5143172913563661,0.4856827086436339,0.13611988382547263
37,North Carolina,2018,10383620,53855,900,917,0.5134409772314472,0.4865590227685528,0.14037747498101813
38,North Dakota,2018,760077,63837,808,861,0.48528635914519186,0.5147136408548081,0.10679937176840136
39,Ohio,2018,11689442,56111,797,931,0.509634848267351,0.490365151732649,0.13893951438018204
40,Oklahoma,2018,3943079,51924,808,775,0.5054433350181419,0.4945566649818581,0.15606399641100574
41,Oregon,2018,4190713,63426,1130,1284,0.5036780137413371,0.4963219862586629,0.12559012064256472
42,Pennsylvania,2018,12807060,60905,927,1012,0.5102997877733063,0.4897002122266937,0.12246812974019687
44,Rhode Island,2018,1057315,64340,998,1502,0.5120659406137243,0.4879340593862756,0.12907919474179733
45,South Carolina,2018,5084127,52306,892,828,0.514428534141653,0.485571465858347,0.1527305503974515
46,South Dakota,2018,882235,56274,734,870,0.4952920707067845,0.5047079292932155,0.13095203180595458
47,Tennessee,2018,6770010,52375,861,841,0.5122324782385845,0.4877675217614154,0.15311434340656305
48,Texas,2018,28701845,60629,1046,1075,0.5035098266330962,0.49649017336690376,0.1489132176649668
49,Utah,2018,3161105,71414,1043,1252,0.49623407004829007,0.5037659299517099,0.09025331217791127
50,Vermont,2018,626299,60782,969,1184,0.5080337027521998,0.49196629724780017,0.10979092274403296
