geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
26,Michigan,2008,10003422,48591,706,1045,0.5083239515437817,0.49167604845621826,0.14435443562985636
27,Minnesota,2008,5220393,57288,734,1225,0.5026573669836735,0.49734263301632653,0.09643730203195462
28,Mississippi,2008,2938618,37790,638,653,0.5141113952204743,0.4858886047795256,0.21192577171420418
29,Missouri,2008,5911605,46867,657,886,0.5118768929926814,0.48812310700731865,0.13384434373244375
30,Montana,2008,967440,43654,631,758,0.5025469279748614,0.4974530720251385,0.14817144178331357
31,Nebraska,2008,1783432,49693,626,917,0.504858609691875,0.495141390308125,0.10810490043282023
32,Nevada,2008,2600167,56361,1011,1543,0.49066886857651837,0.5093311314234816,0.1130728708025841
33,New Hampshire,2008,1315809,63731,914,1534,0.5079711417082571,0.492028858291743,0.07605936134185379
34,New Jersey,2008,8682661,70378,1068,1905,0.5102926395490968,0.48970736045090324,0.08718803671466364
35,New Mexico,2008,1984356,43508,668,794,0.5064413845096344,0.4935586154903656,0.17140424471059448
36,New York,2008,19490297,56033,953,1345,0.5145287934811871,0.4854712065188129,0.1361228625037234
37,North Carolina,2008,9222414,46549,694,937,0.5108583284159657,0.48914167158403427,0.1455069051932816
38,North Dakota,2008,641481,45685,534,721,0.4965322433556099,0.5034677566443901,0.11963042644602315
39,Ohio,2008,11485910,47988,667,998,0.5124441163129434,0.4875558836870566,0.1335605896574802
40,Oklahoma,2008,3642361,42822,614,733,0.5072078248147287,0.4927921751852713,0.15938638910510916
41,Oregon,2008,3790060,50169,780,1258,0.5027171073808858,0.49728289261911424,0.136182535638123
42,Pennsylvania,2008,12448279,50713,726,980,0.513489294383585,0.4865107056164149,0.12141270557888849
44,Rhode Island,2008,1050788,55701,850,1579,0.5176439015291381,0.48235609847086186,0.11703593724703551
45,South Carolina,2008,4479800,44625,675,799,0.5135396669494174,0.4864603330505826,0.15660717635406407
46,South Dakota,2008,804194,46032,569,789,0.5006304448926503,0.4993695551073497,0.12454549092143527
47,Tennessee,2008,6214888,43614,660,824,0.5129974989090712,0.48700250109092874,0.15485897846695923
48,Texas,2008,24326974,50043,768,1010,0.5006677772582813,0.49933222274171873,0.1584819356147368
49,Utah,2008,2736424,56633,784,1196,0.4957250776926383,0.5042749223073617,0.09559461640493837
50,Vermont,2008,621270,52104,797,1170,0.5086162216105719,0.4913837783894281,0.10553012681023487
51,Virginia,2008,7769089,61233,934,1311,0.508016319545316,0.49198368045468394,0.10215359822855785
53,Washington,2008,6549224,58078,874,1428,0.5010862355601213,0.49891376443987867,0.1134793045868778
54,West Virginia,2008,1814468,37989,528,503,0.5105050075283775,0.48949499247162254,0.17011610012221065
55,Wisconsin,2008,5627968,52094,704,1119,0.5028463203770881,0.49715367962291185,0.10396185477346019
56,Wyoming,2008,532668,53207,636,869,0.4944562091208783,0.5055437908791217,0.094095314525588
72,Puerto Rico,2008,3954037,18401,429,276,0.5204966468447311,0.47950335315526893,0.4479772735647809
01,Alabama,2009,4708708,40489,657,751,0.5156242434230366,0.48437575657696336,0.17535426253661282
02,Alaska,2009,698473,66953,1007,1384,0.4836049496544605,0.5163950503455395,0.09034571490536508
04,Arizona,2009,6595778,48745,859,1158,0.498607290906395,0.501392709093605,0.16522268216203112
05,Arkansas,2009,2889450,37823,606,653,0.5108048244475593,0.4891951755524408,0.18794279230350355
06,California,2009,36961664,58931,1155,1852,0.49901127286910024,0.5009887271308997,0.14166613724139418
08,Colorado,2009,5024748,55430,851,1352,0.4966746591072826,0.5033253408927174,0.12901751676458761
09,Connecticut,2009,3518288,67034,1006,1708,0.5122110526483336,0.4877889473516665,0.09400683480253533
10,Delaware,2009,885122,56860,949,1234,0.5154735731345509,0.48452642686544906,0.10830898101215836
11,District of Columbia,2009,599657,59290,1059,1841,0.5303164975977934,0.4696835024022066,0.18400681993990453
12,Florida,2009,18537969,44736,952,1125,0.5085044645397778,0.49149553546022223,0.14940449789512034
13,Georgia,2009,9829211,47590,800,1092,0.5089201971551939,0.4910798028448062,0.165131735284846
15,Hawaii,2009,1295178,64098,1293,1672,0.4945428350388904,0.5054571649611096,0.10362821764243373
16,Idaho,2009,1545801,44926,694,957,0.497701191809295,0.502298808190705,0.14293792784152914
17,Illinois,2009,12910409,53966,828,1267,0.5074431026933384,0.49255689730666163,0.13337412006393015
18,Indiana,2009,6423113,45424,687,896,0.5080570745057731,0.49194292549422686,0.1440170218341116
19,Iowa,2009,3007857,48044,611,821,0.5068392546587155,0.4931607453412845,0.11803185477153859
20,Kansas,2009,2818747,47817,671,883,0.5040814234126014,0.4959185765873986,0.1335803431423673
21,Kentucky,2009,4314113,40072,613,737,0.5105547768452054,0.4894452231547945,0.18561905175827004
22,Louisiana,2009,4492076,42492,715,694,0.5143140944187053,0.4856859055812947,0.17296767107706065
23,Maine,2009,1318301,45734,722,952,0.5123852595120538,0.48761474048794623,0.1230671853098279
24,Maryland,2009,5699478,69272,1108,1689,0.5147532809144978,0.4852467190855022,0.09088963142360887
25,Massachusetts,2009,6593587,64081,988,1694,0.5140763290148442,0.4859236709851557,0.10289659064113152
26,Michigan,2009,9969727,45255,716,1002,0.5081937549543734,0.49180624504562664,0.16195007652730284
27,Minnesota,2009,5266215,55616,757,1204,0.5033729158418333,0.49662708415816675,0.10968280382884366
28,Mississippi,2009,2951996,36646,644,654,0.5139011028470228,0.48609889715297716,0.21920174417686122
29,Missouri,2009,5987580,45229,668,884,0.510910417898383,0.489089582101617,0.14591441393985194
30,Montana,2009,974989,42322,627,783,0.501946175803009,0.49805382419699096,0.1511391867344793
31,Nebraska,2009,1796622,47357,644,904,0.5041294162044103,0.49587058379558974,0.12347705499476516
32,Nevada,2009,2643085,53341,993,1471,0.4905653809847205,0.5094346190152795,0.12351528633071665
33,New Hampshire,2009,1324575,60567,918,1495,0.50643866900704,0.49356133099296,0.08501792014248927
34,New Jersey,2009,8707740,68342,1108,1922,0.5099263413928298,0.49007365860717017,0.09366827020006659
35,New Mexico,2009,2009671,43028,680,763,0.5078726816478916,0.4921273183521084,0.1796646271133563
36,New York,2009,19541453,54659,984,1352,0.5139965794764596,0.4860034205235404,0.1415655077004231
37,North Carolina,2009,9380884,43674,720,940,0.5117567811306483,0.48824321886935174,0.16251346203826142
38,North Dakota,2009,646844,47827,564,714,0.49944190562175733,0.5005580943782426,0.11652634173135251
39,Ohio,2009,11542645,45395,670,975,0.512051094008349,0.48794890599165097,0.15233414160883438
40,Oklahoma,2009,3687050,41664,636,716,0.5067148533380345,0.49328514666196555,0.16209939749405544
41,Oregon,2009,3825657,48457,819,1246,0.5046058755398093,0.49539412446019077,0.14261373412884198
42,Pennsylvania,2009,12604767,49520,738,979,0.5131921121588364,0.4868078878411636,0.12466877644743572
44,Rhode Island,2009,1053209,54119,890,1542,0.5148341877063337,0.4851658122936663,0.11458283079001287
45,South Carolina,2009,4561242,42442,706,812,0.513477031036722,0.48652296896327796,0.17065045544809104
46,South Dakota,2009,812383,45043,562,769,0.5026459194739427,0.4973540805260573,0.14220192276981058
47,Tennessee,2009,6296254,41725,682,835,0.5119148623927815,0.4880851376072185,0.17132014555008793
48,Texas,2009,24782302,48259,788,1005,0.5010067668451462,0.49899323315485383,0.1716662760624882
49,Utah,2009,2784572,55117,793,1200,0.49591211863079854,0.5040878813692015,0.11533374961156281
50,Vermont,2009,621760,51618,829,1183,0.5073484945959856,0.4926515054040144,0.11369709651408427
51,Virginia,2009,7882590,59330,989,1335,0.5088196899749955,0.49118031002500445,0.1052735824010695
53,Washington,2009,6664195,56548,911,1420,0.5005326224697807,0.4994673775302193,0.12314781467856867
54,West Virginia,2009,1819777,37435,552,490,0.5091145783247069,0.4908854216752932,0.17691685468352486
55,Wisconsin,2009,5654774,49993,708,1109,0.5030300061505553,0.49696999384944474,0.12434994072794993
56,Wyoming,2009,544270,52664,700,869,0.48741066015029305,0.5125893398497069,0.09838824714801635
72,Puerto Rico,2009,3967288,18314,419,241,0.5197439661552173,0.48025603384478266,0.44963928412811943
01,Alabama,2010,4785298,40474,667,772,0.5147129813023139,0.48528701869768615,0.19033548533631028
02,Alaska,2010,713985,64576,981,1363,0.47836999376737604,0.5216300062326239,0.09942137303357242
04,Arizona,2010,6413737,46789,844,1119,0.5025209172125392,0.4974790827874607,0.17444664056195383
05,Arkansas,2010,2921606,38307,638,657,0.5102566875889494,0.4897433124110506,0.18835776347472602
06,California,2010,37349363,57708,1163,1790,0.5027892443573937,0.49721075564260625,0.15803525840690494
08,Colorado,2010,5049071,54046,863,1327,0.49864796910164266,0.5013520308983573,0.13371751079916452
09,Connecticut,2010,3577073,64032,992,1704,0.5138712573100969,0.4861287426899032,0.10099432445037852
10,Delaware,2010,899769,55847,952,1242,0.5147554538998342,0.4852445461001657,0.11829408192185707
11,District of Columbia,2010,604453,60903,1198,1869,0.5272932717680283,0.47270672823197174,0.19164975050485766
12,Florida,2010,18843326,44409,947,1087,0.5110975631372083,0.4889024368627916,0.16528600318016348
13,Georgia,2010,9712587,46430,819,1106,0.5116899338971173,0.4883100661028828,0.17878149734950258
15,Hawaii,2010,1363621,63030,1291,1618,0.49833054785750586,0.5016694521424941,0.10719835219806194
16,Idaho,2010,1571450,43490,683,923,0.4988666518183843,0.5011333481816157,0.15712970049161404
17,Illinois,2010,12843166,52972,848,1254,0.5099001289868869,0.49009987101311314,0.13805691684517274
18,Indiana,2010,6490621,44613,683,867,0.5074240199820633,0.4925759800179367,0.15295697758823415
19,Iowa,2010,3049883,47961,629,819,0.5062502397632959,0.49374976023670414,0.12558490786038204
20,Kansas,2010,2859169,48257,682,882,0.5043545869446682,0.49564541305533183,0.13602944488182592
21,Kentucky,2010,4346266,40062,613,741,0.5075098947004164,0.4924901052995836,0.18982299971795524
22,Louisiana,2010,4544228,42505,736,705,0.5099246780751318,0.4900753219248682,0.18694258352609602
